Country,Year,Measure_group,OBS_VALUE_use
Belgium,2021,Services,97.7362
Bulgaria,1990,Agriculture,86.8
Bulgaria,1990,Domestic/Public Use,1614.3000000000002
Bulgaria,1990,Energy Production,1.5
Bulgaria,1990,Industry,1106.8
Bulgaria,1990,Services,299.1
Bulgaria,1991,Agriculture,60.7
Bulgaria,1991,Domestic/Public Use,1435.3
Bulgaria,1991,Energy Production,26.6
Bulgaria,1991,Industry,631.6
Bulgaria,1991,Services,237.9
Bulgaria,1992,Agriculture,47.3
Bulgaria,1992,Domestic/Public Use,1301.2
Bulgaria,1992,Energy Production,14.3
Bulgaria,1992,Industry,555.0999999999999
Bulgaria,1992,Services,220.2
Bulgaria,1993,Agriculture,23.1
Bulgaria,1993,Domestic/Public Use,1148.1
Bulgaria,1993,Energy Production,14.8
Bulgaria,1993,Industry,419.29999999999995
Bulgaria,1993,Services,176.8
Bulgaria,1994,Agriculture,12.3
Bulgaria,1994,Domestic/Public Use,1058.6
Bulgaria,1994,Energy Production,14.8
Bulgaria,1994,Industry,376.3
Bulgaria,1994,Services,135.7
Bulgaria,1995,Agriculture,9.6
Bulgaria,1995,Domestic/Public Use,897.1
Bulgaria,1995,Energy Production,4.7
Bulgaria,1995,Industry,454.6
Bulgaria,1995,Services,113.5
Bulgaria,1996,Agriculture,7.8
Bulgaria,1996,Domestic/Public Use,908.2
Bulgaria,1996,Energy Production,3.0
Bulgaria,1996,Industry,305.6
Bulgaria,1996,Services,103.4
Bulgaria,1997,Agriculture,5.8
Bulgaria,1997,Domestic/Public Use,757.8
Bulgaria,1997,Energy Production,3.0
Bulgaria,1997,Industry,256.9
Bulgaria,1997,Services,82.3
Bulgaria,1998,Agriculture,4.9
Bulgaria,1998,Domestic/Public Use,817.7
Bulgaria,1998,Energy Production,3.3
Bulgaria,1998,Industry,232.60000000000002
Bulgaria,1998,Services,88.1
Bulgaria,1999,Agriculture,4.2
Bulgaria,1999,Domestic/Public Use,767.1
Bulgaria,1999,Energy Production,3.9
Bulgaria,1999,Industry,207.8
Bulgaria,1999,Services,88.7
Bulgaria,2000,Agriculture,1.82
Bulgaria,2000,Domestic/Public Use,762.05
Bulgaria,2000,Energy Production,4.42
Bulgaria,2000,Industry,217.98999999999998
Bulgaria,2000,Services,88.14
Bulgaria,2001,Agriculture,1.66
Bulgaria,2001,Domestic/Public Use,697.1500000000001
Bulgaria,2001,Energy Production,3.71
Bulgaria,2001,Industry,181.03
Bulgaria,2001,Services,79.43
Bulgaria,2002,Agriculture,1.79
Bulgaria,2002,Domestic/Public Use,648.11
Bulgaria,2002,Energy Production,3.72
Bulgaria,2002,Industry,183.67
Bulgaria,2002,Services,65.32
Bulgaria,2003,Agriculture,1.57
Bulgaria,2003,Domestic/Public Use,665.97
Bulgaria,2003,Energy Production,4.05
Bulgaria,2003,Industry,175.22
Bulgaria,2003,Services,59.04
Bulgaria,2004,Agriculture,3.79
Bulgaria,2004,Domestic/Public Use,651.7
Bulgaria,2004,Energy Production,3.94
Bulgaria,2004,Industry,170.46
Bulgaria,2004,Services,56.18
Bulgaria,2005,Agriculture,2.84
Bulgaria,2005,Domestic/Public Use,642.8399999999999
Bulgaria,2005,Energy Production,5.21
Bulgaria,2005,Industry,165.70000000000002
Bulgaria,2005,Services,58.34
Bulgaria,2006,Agriculture,2.99
Bulgaria,2006,Domestic/Public Use,667.47
Bulgaria,2006,Energy Production,4.38
Bulgaria,2006,Industry,183.5
Bulgaria,2006,Services,57.95
Bulgaria,2007,Agriculture,2.77
Bulgaria,2007,Domestic/Public Use,678.7
Bulgaria,2007,Energy Production,5.6
Bulgaria,2007,Industry,166.5
Bulgaria,2007,Services,55.4
Bulgaria,2008,Agriculture,2.94
Bulgaria,2008,Domestic/Public Use,669.25
Bulgaria,2008,Energy Production,2.12
Bulgaria,2008,Industry,161.20000000000002
Bulgaria,2008,Services,56.35
Bulgaria,2009,Agriculture,2.86
Bulgaria,2009,Domestic/Public Use,656.25
Bulgaria,2009,Energy Production,2.4
Bulgaria,2009,Industry,138.39
Bulgaria,2009,Services,50.07
Bulgaria,2010,Agriculture,2.6
Bulgaria,2010,Domestic/Public Use,635.75
Bulgaria,2010,Energy Production,2.33
Bulgaria,2010,Industry,128.64000000000001
Bulgaria,2010,Services,47.21
Bulgaria,2011,Agriculture,2.86
Bulgaria,2011,Domestic/Public Use,636.5899999999999
Bulgaria,2011,Energy Production,2.1
Bulgaria,2011,Industry,126.59
Bulgaria,2011,Services,46.7
Bulgaria,2012,Agriculture,3.15
Bulgaria,2012,Domestic/Public Use,646.45
Bulgaria,2012,Energy Production,1.9
Bulgaria,2012,Industry,126.18
Bulgaria,2012,Services,45.48
Bulgaria,2013,Agriculture,3.14
Bulgaria,2013,Domestic/Public Use,648.51
Bulgaria,2013,Energy Production,1.71
Bulgaria,2013,Industry,132.41
Bulgaria,2013,Services,43.03
Bulgaria,2014,Agriculture,3.33
Bulgaria,2014,Domestic/Public Use,617.16
Bulgaria,2014,Energy Production,1.6
Bulgaria,2014,Industry,128.35000000000002
Bulgaria,2014,Services,40.07
Bulgaria,2015,Agriculture,3.51
Bulgaria,2015,Domestic/Public Use,639.5
Bulgaria,2015,Energy Production,1.09
Bulgaria,2015,Industry,140.1
