STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,SOURCE,Water source,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,OBS_STATUS_2,Observation status 2,OBS_STATUS_3,Observation status 3,OBS_STATUS_4,Observation status 4,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ENV.EPI:DSD_WATER_ABSTRACT@DF_WATER_ABSTRACT(1.0),Freshwater - abstractions,I,BLR,Belarus,A,Annual,AGRICULTURE,"Agriculture, forestry, fishing",M3,Cubic metres,TOTAL_ABSTRACT,Total freshwater,2010,,495.7,,A,Normal value,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_ABSTRACT@DF_WATER_ABSTRACT(1.0),Freshwater - abstractions,I,BLR,Belarus,A,Annual,AGRICULTURE,"Agriculture, forestry, fishing",M3,Cubic metres,TOTAL_ABSTRACT,Total freshwater,2011,,523.2,,A,Normal value,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_ABSTRACT@DF_WATER_ABSTRACT(1.0),Freshwater - abstractions,I,BLR,Belarus,A,Annual,AGRICULTURE,"Agriculture, forestry, fishing",M3,Cubic metres,TOTAL_ABSTRACT,Total freshwater,2012,,549,,A,Normal value,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_ABSTRACT@DF_WATER_ABSTRACT(1.0),Freshwater - abstractions,I,BLR,Belarus,A,Annual,AGRICULTURE,"Agriculture, forestry, fishing",M3,Cubic metres,TOTAL_ABSTRACT,Total freshwater,2013,,515,,A,Normal value,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_ABSTRACT@DF_WATER_ABSTRACT(1.0),Freshwater - abstractions,I,BLR,Belarus,A,Annual,AGRICULTURE,"Agriculture, forestry, fishing",M3,Cubic metres,TOTAL_ABSTRACT,Total freshwater,2014,,517,,A,Normal value,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_ABSTRACT@DF_WATER_ABSTRACT(1.0),Freshwater - abstractions,I,BLR,Belarus,A,Annual,AGRICULTURE,"Agriculture, forestry, fishing",M3,Cubic metres,TOTAL_ABSTRACT,Total freshwater,2015,,434.3,,A,Normal value,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_ABSTRACT@DF_WATER_ABSTRACT(1.0),Freshwater - abstractions,I,BLR,Belarus,A,Annual,AGRICULTURE,"Agriculture, forestry, fishing",M3,Cubic metres,TOTAL_ABSTRACT,Total freshwater,2016,,427.7,,A,Normal value,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_ABSTRACT@DF_WATER_ABSTRACT(1.0),Freshwater - abstractions,I,BLR,Belarus,A,Annual,AGRICULTURE,"Agriculture, forestry, fishing",M3,Cubic metres,TOTAL_ABSTRACT,Total freshwater,2017,,431.2,,A,Normal value,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_ABSTRACT@DF_WATER_ABSTRACT(1.0),Freshwater - abstractions,I,BLR,Belarus,A,Annual,AGRICULTURE,"Agriculture, forestry, fishing",M3,Cubic metres,TOTAL_ABSTRACT,Total freshwater,2018,,415.5,,A,Normal value,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_ABSTRACT@DF_WATER_ABSTRACT(1.0),Freshwater - abstractions,I,BLR,Belarus,A,Annual,AGRICULTURE,"Agriculture, forestry, fishing",M3,Cubic metres,TOTAL_ABSTRACT,Total freshwater,2019,,367.3,,A,Normal value,,,,,,,6,Millions,1,One
