Country,Year,Measure_group,OBS_VALUE_abstraction
Azerbaijan,2003,Agriculture & Fisheries,18258.0
Azerbaijan,2003,Domestic & Public Use,372.0
Azerbaijan,2003,Industry & Manufacturing,67.0
Azerbaijan,2004,Agriculture & Fisheries,19488.0
Azerbaijan,2004,Domestic & Public Use,379.0
Azerbaijan,2004,Industry & Manufacturing,56.0
Azerbaijan,2005,Agriculture & Fisheries,20890.0
Azerbaijan,2005,Domestic & Public Use,385.0
Azerbaijan,2005,Industry & Manufacturing,64.0
Azerbaijan,2006,Agriculture & Fisheries,21516.0
Azerbaijan,2006,Domestic & Public Use,397.0
Azerbaijan,2006,Industry & Manufacturing,100.0
Azerbaijan,2007,Agriculture & Fisheries,21732.0
Azerbaijan,2007,Domestic & Public Use,356.0
Azerbaijan,2007,Industry & Manufacturing,102.0
Azerbaijan,2008,Agriculture & Fisheries,20948.0
Azerbaijan,2008,Domestic & Public Use,356.0
Azerbaijan,2008,Industry & Manufacturing,24.0
Azerbaijan,2009,Agriculture & Fisheries,20602.0
Azerbaijan,2009,Domestic & Public Use,340.0
Azerbaijan,2009,Industry & Manufacturing,22.0
Azerbaijan,2010,Agriculture & Fisheries,20200.0
Azerbaijan,2010,Domestic & Public Use,360.0
Azerbaijan,2010,Industry & Manufacturing,22.0
Azerbaijan,2011,Agriculture & Fisheries,20574.0
Azerbaijan,2011,Domestic & Public Use,441.0
Azerbaijan,2011,Industry & Manufacturing,12.0
Azerbaijan,2012,Agriculture & Fisheries,21698.0
Azerbaijan,2012,Domestic & Public Use,459.0
Azerbaijan,2012,Industry & Manufacturing,23.0
Azerbaijan,2013,Agriculture & Fisheries,21718.0
Azerbaijan,2013,Domestic & Public Use,454.0
Azerbaijan,2013,Industry & Manufacturing,12.0
Azerbaijan,2014,Agriculture & Fisheries,20836.0
Azerbaijan,2014,Domestic & Public Use,461.0
Azerbaijan,2014,Industry & Manufacturing,10.0
Azerbaijan,2015,Agriculture & Fisheries,21308.0
Azerbaijan,2015,Domestic & Public Use,426.0
Azerbaijan,2015,Industry & Manufacturing,10.0
Azerbaijan,2016,Agriculture & Fisheries,21640.0
Azerbaijan,2016,Domestic & Public Use,392.0
Azerbaijan,2016,Industry & Manufacturing,16.0
Azerbaijan,2017,Agriculture & Fisheries,22322.0
Azerbaijan,2017,Domestic & Public Use,371.0
Azerbaijan,2017,Industry & Manufacturing,10.0
Azerbaijan,2018,Agriculture & Fisheries,22474.0
Azerbaijan,2018,Domestic & Public Use,401.0
Azerbaijan,2018,Industry & Manufacturing,8.0
Azerbaijan,2019,Agriculture & Fisheries,23228.0
Azerbaijan,2019,Domestic & Public Use,400.0
Azerbaijan,2019,Industry & Manufacturing,11.0
Azerbaijan,2020,Agriculture & Fisheries,22414.0
Azerbaijan,2020,Domestic & Public Use,420.0
Azerbaijan,2020,Industry & Manufacturing,13.0
Azerbaijan,2021,Agriculture & Fisheries,23924.0
Azerbaijan,2021,Domestic & Public Use,395.0
Azerbaijan,2021,Industry & Manufacturing,3.0
Belarus,1990,Agriculture & Fisheries,67.0
Belarus,1995,Agriculture & Fisheries,15.0
Belarus,2000,Agriculture & Fisheries,5.3
Belarus,2001,Agriculture & Fisheries,5.8
Belarus,2002,Agriculture & Fisheries,5.4
Belarus,2003,Agriculture & Fisheries,11.7
Belarus,2004,Agriculture & Fisheries,7.9
Belarus,2005,Agriculture & Fisheries,6.3
Belarus,2006,Agriculture & Fisheries,461.40000000000003
Belarus,2006,Domestic & Public Use,763.6
Belarus,2006,Industry & Manufacturing,234.1
Belarus,2007,Agriculture & Fisheries,429.59999999999997
Belarus,2007,Domestic & Public Use,752.9
Belarus,2007,Industry & Manufacturing,268.7
Belarus,2008,Agriculture & Fisheries,438.3
Belarus,2008,Domestic & Public Use,708.7
Belarus,2008,Industry & Manufacturing,270.29999999999995
Belarus,2009,Agriculture & Fisheries,487.59999999999997
Belarus,2009,Domestic & Public Use,626.3
Belarus,2009,Industry & Manufacturing,218.1
Belarus,2010,Agriculture & Fisheries,502.7
Belarus,2010,Domestic & Public Use,664.1
Belarus,2010,Industry & Manufacturing,239.3
Belarus,2011,Agriculture & Fisheries,527.2
Belarus,2011,Domestic & Public Use,642.6
Belarus,2011,Industry & Manufacturing,249.6
Belarus,2012,Agriculture & Fisheries,554.9
Belarus,2012,Domestic & Public Use,706.0
Belarus,2012,Industry & Manufacturing,239.2
Belarus,2013,Agriculture & Fisheries,520.0
Belarus,2013,Domestic & Public Use,698.1
Belarus,2013,Industry & Manufacturing,231.20000000000002
Belarus,2014,Agriculture & Fisheries,520.2
Belarus,2014,Domestic & Public Use,690.0
Belarus,2014,Industry & Manufacturing,230.70000000000002
Belarus,2015,Agriculture & Fisheries,438.40000000000003
Belarus,2015,Domestic & Public Use,665.1
Belarus,2015,Industry & Manufacturing,219.7
Belarus,2016,Agriculture & Fisheries,427.7
Belarus,2016,Domestic & Public Use,460.6
Belarus,2016,Industry & Manufacturing,234.6
Belarus,2017,Agriculture & Fisheries,431.2
Belarus,2017,Domestic & Public Use,433.8
Belarus,2017,Industry & Manufacturing,234.4
Belarus,2018,Agriculture & Fisheries,415.5
Belarus,2018,Domestic & Public Use,435.3
Belarus,2018,Industry & Manufacturing,239.0
Belarus,2019,Agriculture & Fisheries,367.3
