STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,SOURCE,Source of water,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,CZE,Czechia,A,Annual,PUB_SER,Services,M3,Cubic metres,PUBLIC,Public water supply,2000,,153.6,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,CZE,Czechia,A,Annual,PUB_SER,Services,M3,Cubic metres,PUBLIC,Public water supply,2001,,150,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,CZE,Czechia,A,Annual,PUB_SER,Services,M3,Cubic metres,PUBLIC,Public water supply,2002,,140.4,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,CZE,Czechia,A,Annual,PUB_SER,Services,M3,Cubic metres,PUBLIC,Public water supply,2003,,135.2,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,CZE,Czechia,A,Annual,PUB_SER,Services,M3,Cubic metres,PUBLIC,Public water supply,2004,,122.2,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,CZE,Czechia,A,Annual,PUB_SER,Services,M3,Cubic metres,PUBLIC,Public water supply,2005,,119.1,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,CZE,Czechia,A,Annual,PUB_SER,Services,M3,Cubic metres,PUBLIC,Public water supply,2006,,101.3,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,CZE,Czechia,A,Annual,PUB_SER,Services,M3,Cubic metres,PUBLIC,Public water supply,2007,,106.8,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,CZE,Czechia,A,Annual,PUB_SER,Services,M3,Cubic metres,PUBLIC,Public water supply,2008,,118.517,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,CZE,Czechia,A,Annual,PUB_SER,Services,M3,Cubic metres,PUBLIC,Public water supply,2009,,130.7,,A,Normal value,6,Millions,1,One
